Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
MH_get_Q_head0,2048,1,1,1,8192,128,1,
MH_get_K_head0,2048,1,1,1,8192,128,1,
MH_get_V_head0,2048,1,1,1,8192,128,1,
MH_QxKT_head0,2048,1,1,1,128,2048,1,
MH_QxKTxV_head0,2048,1,1,1,2048,128,1,
MH_get_Q_head1,2048,1,1,1,8192,128,1,
MH_get_K_head1,2048,1,1,1,8192,128,1,
MH_get_V_head1,2048,1,1,1,8192,128,1,
MH_QxKT_head1,2048,1,1,1,128,2048,1,
MH_QxKTxV_head1,2048,1,1,1,2048,128,1,
MH_get_Q_head2,2048,1,1,1,8192,128,1,
MH_get_K_head2,2048,1,1,1,8192,128,1,
MH_get_V_head2,2048,1,1,1,8192,128,1,
MH_QxKT_head2,2048,1,1,1,128,2048,1,
MH_QxKTxV_head2,2048,1,1,1,2048,128,1,
MH_get_Q_head3,2048,1,1,1,8192,128,1,
MH_get_K_head3,2048,1,1,1,8192,128,1,
MH_get_V_head3,2048,1,1,1,8192,128,1,
MH_QxKT_head3,2048,1,1,1,128,2048,1,
MH_QxKTxV_head3,2048,1,1,1,2048,128,1,
MH_get_Q_head4,2048,1,1,1,8192,128,1,
MH_get_K_head4,2048,1,1,1,8192,128,1,
MH_get_V_head4,2048,1,1,1,8192,128,1,
MH_QxKT_head4,2048,1,1,1,128,2048,1,
MH_QxKTxV_head4,2048,1,1,1,2048,128,1,
MH_get_Q_head5,2048,1,1,1,8192,128,1,
MH_get_K_head5,2048,1,1,1,8192,128,1,
MH_get_V_head5,2048,1,1,1,8192,128,1,
MH_QxKT_head5,2048,1,1,1,128,2048,1,
MH_QxKTxV_head5,2048,1,1,1,2048,128,1,
MH_get_Q_head6,2048,1,1,1,8192,128,1,
MH_get_K_head6,2048,1,1,1,8192,128,1,
MH_get_V_head6,2048,1,1,1,8192,128,1,
MH_QxKT_head6,2048,1,1,1,128,2048,1,
MH_QxKTxV_head6,2048,1,1,1,2048,128,1,
MH_get_Q_head7,2048,1,1,1,8192,128,1,
MH_get_K_head7,2048,1,1,1,8192,128,1,
MH_get_V_head7,2048,1,1,1,8192,128,1,
MH_QxKT_head7,2048,1,1,1,128,2048,1,
MH_QxKTxV_head7,2048,1,1,1,2048,128,1,
MH_get_Q_head8,2048,1,1,1,8192,128,1,
MH_get_K_head8,2048,1,1,1,8192,128,1,
MH_get_V_head8,2048,1,1,1,8192,128,1,
MH_QxKT_head8,2048,1,1,1,128,2048,1,
MH_QxKTxV_head8,2048,1,1,1,2048,128,1,
MH_get_Q_head9,2048,1,1,1,8192,128,1,
MH_get_K_head9,2048,1,1,1,8192,128,1,
MH_get_V_head9,2048,1,1,1,8192,128,1,
MH_QxKT_head9,2048,1,1,1,128,2048,1,
MH_QxKTxV_head9,2048,1,1,1,2048,128,1,
MH_get_Q_head10,2048,1,1,1,8192,128,1,
MH_get_K_head10,2048,1,1,1,8192,128,1,
MH_get_V_head10,2048,1,1,1,8192,128,1,
MH_QxKT_head10,2048,1,1,1,128,2048,1,
MH_QxKTxV_head10,2048,1,1,1,2048,128,1,
MH_get_Q_head11,2048,1,1,1,8192,128,1,
MH_get_K_head11,2048,1,1,1,8192,128,1,
MH_get_V_head11,2048,1,1,1,8192,128,1,
MH_QxKT_head11,2048,1,1,1,128,2048,1,
MH_QxKTxV_head11,2048,1,1,1,2048,128,1,
MH_get_Q_head12,2048,1,1,1,8192,128,1,
MH_get_K_head12,2048,1,1,1,8192,128,1,
MH_get_V_head12,2048,1,1,1,8192,128,1,
MH_QxKT_head12,2048,1,1,1,128,2048,1,
MH_QxKTxV_head12,2048,1,1,1,2048,128,1,
MH_get_Q_head13,2048,1,1,1,8192,128,1,
MH_get_K_head13,2048,1,1,1,8192,128,1,
